AGE,FG,FGA,THREEP,THREEPA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PlusMinus
21.4821917808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
21.4876712329,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,1.3,-2
21.5342465753,1,4,0,0,0,0,0,1,1,0,1,0,0,0,2,0.9,-7
21.5452054795,0,1,0,0,0,0,0,2,2,0,1,0,0,2,0,0.1,-4
21.5534246575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
22.0904109589,2,4,0,1,0,0,0,1,1,0,1,0,0,0,4,3.3,-10
22.095890411,0,1,0,0,0,0,0,2,2,0,1,1,0,3,0,0.4,3
22.101369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.104109589,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.3,3
22.1095890411,1,2,0,1,2,2,0,1,1,0,0,0,0,1,4,2.9,11
22.1178082192,2,5,0,0,0,2,1,1,2,2,0,1,0,1,4,3.2,1
22.1232876712,0,3,0,0,0,0,2,2,4,0,0,1,0,1,0,0.2,-8
22.1287671233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
22.1369863014,4,9,2,2,0,0,0,7,7,3,3,1,1,1,10,11.8,20
22.1424657534,0,2,0,1,0,0,0,3,3,1,0,1,2,1,0,-1.5,1
22.1479452055,1,2,0,0,0,2,0,0,0,1,0,0,0,0,2,0.9,-4
22.1534246575,0,1,0,0,1,2,0,2,2,1,0,2,0,0,1,2.6,-1
22.1561643836,3,5,0,0,2,2,0,6,6,2,0,0,0,1,8,8.5,-1
22.1616438356,1,3,0,0,0,0,0,0,0,0,2,0,1,0,2,1.3,2
22.1671232877,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1.4,2
22.1726027397,1,3,0,0,3,4,0,4,4,3,0,0,1,3,5,4,19
22.1753424658,1,3,1,1,2,2,0,6,6,1,1,0,1,0,5,5.8,-9
22.1808219178,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,-8
22.1863013699,1,3,0,1,2,3,0,5,5,0,3,1,2,2,4,4.3,7
22.1890410959,0,2,0,0,0,0,1,1,2,4,0,1,0,1,0,2.7,3
22.1945205479,2,2,0,0,0,0,0,2,2,0,1,0,0,1,4,4.6,5
22.2,2,4,0,0,3,5,0,5,5,1,0,0,0,3,7,5.2,28
22.2054794521,2,3,1,1,0,0,0,1,1,2,0,0,0,0,5,5.4,1
22.2109589041,0,1,0,1,0,0,0,1,1,3,0,0,2,1,0,-0.7,0
22.2136986301,1,2,0,0,0,0,0,1,1,0,0,0,1,0,2,0.3,1
22.2191780822,2,3,0,0,2,2,0,1,1,1,0,0,1,2,6,3.9,-2
22.2246575342,2,3,0,0,2,4,0,1,1,2,0,2,1,2,6,5.2,9
22.2383561644,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,-2
22.2438356164,5,6,0,1,0,0,2,3,5,3,1,1,1,0,10,12.9,14
22.2520547945,2,5,0,0,0,0,1,2,3,0,0,0,1,0,4,1.6,2
22.2575342466,2,2,0,0,0,0,0,2,2,0,1,1,2,0,4,3.7,4
22.2630136986,3,3,0,0,1,1,0,1,1,0,0,1,0,1,7,6.7,7
22.2712328767,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
22.2767123288,1,2,0,1,0,0,0,2,2,2,0,0,1,2,2,1.2,0
22.2821917808,6,9,0,0,1,1,1,2,3,2,1,0,1,2,13,11,7
22.295890411,1,2,0,1,3,4,0,4,4,3,0,0,1,1,5,5.5,7
22.298630137,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,-2
22.304109589,1,1,0,0,0,0,0,2,2,1,0,0,0,0,2,3,5
